fila,url,entidad,municipio,departamento,tipo
1414,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20999,BOYACÁ - ALCALDÍA MUNICIPIO DE MONGUI,Monguí,Boyacá,MATRIZ_RIESGO
1431,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34910,BOYACÁ - ALCALDÍA MUNICIPIO DE LA UVITA,La Uvita,Boyacá,MATRIZ_RIESGO
1432,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-19996,SANTANDER - ALCALDÍA MUNICIPIO DE SUAITA,Suaita,Santander,MATRIZ_RIESGO
1433,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34518,BOYACÁ - ALCALDÍA MUNICIPIO DE SAMACÁ,Samacá,Boyacá,MATRIZ_RIESGO
1445,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-1-217123,BOYACÁ - ALCALDÍA MUNICIPIO DE SORA,Sora,Boyacá,MATRIZ_RIESGO
1461,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-3150,CAUCA - ALCALDÍA MUNICIPIO DE SUAREZ,Suárez,Cauca,MATRIZ_RIESGO
1463,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-200480,SANTANDER - ALCALDÍA MUNICIPIO DE SAN JOSÉ DE MIRANDA,San José de Miranda,Santander,MATRIZ_RIESGO
1474,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31852,BOYACÁ - ALCALDÍA MUNICIPIO DE SIACHOQUE,Siachoque,Boyacá,MATRIZ_RIESGO
1476,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-29841,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GACHETÁ,Gachetá,Cundinamarca,MATRIZ
1479,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-22541,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CHOACHÍ,Choachí,Cundinamarca,MATRIZ_RIESGO
1480,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28655,PUTUMAYO - ALCALDÍA MUNICIPIO DE VILLAGARZÓN,Villa Garzón/Villa Amazonica,Putumayo,MATRIZ_RIESGO
1481,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-24059,BOYACÁ - ALCALDÍA MUNICIPIO DE TUTA,Tuta,Boyacá,MATRIZ_RIESGO
1499,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28350,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE CHOCONTÁ,Chocontá,Cundinamarca,MATRIZ
1500,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=23-21-35951,CASANARE - ALCALDÍA MUNICIPIO DE TAMARA,Támara,Casanare,MATRIZ
1512,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-31020,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE GUASCA,Guasca,Cundinamarca,MATRIZ_RIESGO
1518,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8313040,CALDAS - ALCALDÍA MUNICIPIO DE LA DORADA,La Dorada,Caldas,MATRIZ_RIESGO
