fila,url,entidad,municipio,departamento,tipo
1475,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=22-21-34669,BOYACÁ - ALCALDÍA MUNICIPIO DE TIBANÁ,Tibaná,Boyacá,ESTUDIOS_PREVIOS
1498,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-27000,NORTE DE SANTANDER - ALCALDÍA MUNICIPIO DE LABATECA,Labateca,Norte De Santander,ESTUDIOS_PREVIOS
1519,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-4-9304495,ANTIOQUIA - EMPRESAS PÚBLICAS DE URRAO E.S.P.,Urrao,Antioquia,ESTUDIOS_PREVIOS
1521,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20216,META - ALCALDÍA MUNICIPIO DE RESTREPO,Restrepo,Meta,ESTUDIOS_PREVIOS
1525,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-4439,BOYACÁ - ALCALDÍA MUNICIPIO DE TUNJA,Tunja,Boyacá,ESTUDIOS_PREVIOS
1543,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-21-13213,VALLE DEL CAUCA - ALCALDÍA MUNICIPIO DE YUMBO,Yumbo,Valle del Cauca,ESTUDIOS_PREVIOS
1544,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-12-11508247,INSTITUTO NACIONAL DE VÍAS (INVIAS),Bogotá D.C.,Bogotá D.C.,ESTUDIOS_PREVIOS
1545,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-27166,BOYACÁ - ALCALDÍA MUNICIPIO DE BOYACÁ,Boyacá,Boyacá,ESTUDIOS_PREVIOS
1546,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=20-21-20371,BOYACÁ - ALCALDÍA MUNICIPIO DE OICATÁ,Oicatá,Boyacá,ESTUDIOS_PREVIOS
1556,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-11-9941804,SANTANDER - ALCALDÍA MUNICIPIO DE BUCARAMANGA,Bucaramanga,Santander,ESTUDIOS_PREVIOS
496,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-25466,BOYACÁ - ALCALDÍA MUNICIPIO DE MIRAFLORES,Miraflores,Boyacá,ESTUDIOS_PREVIOS
498,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-203084,ANTIOQUIA - ALCALDÍA MUNICIPIO DE LA CEJA,La Ceja,Antioquia,ESTUDIOS_PREVIOS
513,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=19-1-205785,ANTIOQUIA - ALCALDÍA MUNICIPIO DE JERICÓ,Jericó,Antioquia,ESTUDIOS_PREVIOS
514,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-4-11869597,NORTE DE SANTANDER - UNIVERSIDAD DE PAMPLONA,San José de Cúcuta,Norte De Santander,ESTUDIOS_PREVIOS
520,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-11-8814427,CUNDINAMARCA - ALCALDÍA MUNICIPIO DE TOCANCIPÁ,Tocancipá,Cundinamarca,ESTUDIOS_PREVIOS
526,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=18-21-7257,SANTANDER - ALCALDÍA MUNICIPIO DE SOCORRO,Socorro,Santander,ESTUDIOS_PREVIOS
527,https://www.contratos.gov.co/consultas/detalleProceso.do?numConstancia=21-21-28799,ANTIOQUIA - ALCALDÍA MUNICIPIO DE MACEO,Maceo,Antioquia,ESTUDIOS_PREVIOS
